Region,District
Kinshasa,Kin- Tshangu
Kinshasa,Kin- Mt Amba
Kinshasa,Kin- Lukunga
Kinshasa,Kin- Funa
Kongo central,Inkinsi
Kongo central,Mbanza Ngungu
Kongo central,Lukala
Kongo central,Kimpese
Kongo central,Matadi
Kongo central,Boma
Kongo central,Mouanda
Bandundu,Kenge
Bandundu,Kikwit
Bandundu,Bandundu Ville
Bandundu,Inongo
Kasai,Kananga
Kasai,Mbunji - Mayi
Kasai,Tshikapa
Kasai,Lodja
Tshopo,Kisangani
Maniema,Kindu
Ituri,Beni
Equateur,Mbandaka
Equateur,Gemena
Equateur,Gbadolite
Equateur,Bumba
